epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,52.4419,0.54049,0.54891,0.963,1,0.99975,0.995,0.95278,0.33368,0.49091,0.81307,0.0011684,0.0011684,0.0011684
44,53.6143,0.4787,0.52488,0.95506,0.99848,1,0.995,0.95207,0.31275,0.47544,0.8086,0.0011486,0.0011486,0.0011486
45,54.7819,0.53851,0.48462,0.95784,0.99721,1,0.995,0.96694,0.28424,0.42407,0.80414,0.0011288,0.0011288,0.0011288
46,55.9523,0.53769,0.54894,0.96908,0.99407,1,0.995,0.97147,0.28726,0.44157,0.80606,0.001109,0.001109,0.001109
47,57.1222,0.49859,0.46782,0.9176,0.99441,1,0.995,0.94747,0.3497,0.50882,0.81288,0.0010892,0.0010892,0.0010892
48,58.2551,0.46463,0.44687,0.88602,0.99758,1,0.995,0.96002,0.31826,0.46658,0.80433,0.0010694,0.0010694,0.0010694
49,59.3869,0.42424,0.43464,0.90123,0.9976,1,0.995,0.97147,0.29951,0.37317,0.80242,0.0010496,0.0010496,0.0010496
50,60.5418,0.42478,0.40127,0.88184,0.99781,1,0.995,0.95158,0.3068,0.33164,0.80935,0.0010298,0.0010298,0.0010298
51,61.7454,0.4012,0.40226,0.86751,0.99713,1,0.995,0.95806,0.29101,0.31882,0.80643,0.00101,0.00101,0.00101
52,62.8456,0.51322,0.42519,1.0023,0.99749,1,0.995,0.95756,0.3186,0.31851,0.81464,0.0009902,0.0009902,0.0009902
53,63.9511,0.46929,0.4202,0.91622,0.99818,1,0.995,0.95884,0.2893,0.28618,0.80365,0.0009704,0.0009704,0.0009704
54,65.124,0.42811,0.41873,0.93086,0.9892,1,0.995,0.98848,0.23653,0.27999,0.79309,0.0009506,0.0009506,0.0009506
55,66.2435,0.49965,0.42025,0.91929,0.99793,1,0.995,0.995,0.22219,0.26072,0.79058,0.0009308,0.0009308,0.0009308
56,67.3547,0.48935,0.43534,0.91884,0.99722,1,0.995,0.98205,0.24949,0.27842,0.79884,0.000911,0.000911,0.000911
57,68.4951,0.45092,0.40867,0.91759,0.99736,1,0.995,0.97737,0.25134,0.27383,0.7957,0.0008912,0.0008912,0.0008912
58,69.6418,0.41571,0.37275,0.89978,0.99589,1,0.995,0.98279,0.27674,0.26248,0.79941,0.0008714,0.0008714,0.0008714
59,70.7953,0.42385,0.40515,0.98739,0.93928,0.99803,0.99136,0.9709,0.28229,0.29659,0.80296,0.0008516,0.0008516,0.0008516
60,71.97,0.45391,0.44404,0.8833,1,0.9579,0.99318,0.96223,0.27874,0.28774,0.8011,0.0008318,0.0008318,0.0008318
61,73.0728,0.37133,0.37997,0.89454,0.99715,1,0.995,0.9683,0.24075,0.25798,0.79504,0.000812,0.000812,0.000812
62,74.2509,0.37475,0.39613,0.90455,0.99333,1,0.995,0.96939,0.2491,0.2463,0.79291,0.0007922,0.0007922,0.0007922
63,75.4111,0.4676,0.38942,0.93613,0.99652,1,0.995,0.98754,0.2281,0.25454,0.79247,0.0007724,0.0007724,0.0007724
64,76.6167,0.3881,0.3763,0.8626,0.99615,1,0.995,0.995,0.21226,0.24476,0.7926,0.0007526,0.0007526,0.0007526
65,77.775,0.33354,0.38128,0.8845,0.99662,1,0.995,0.97855,0.23773,0.24772,0.79978,0.0007328,0.0007328,0.0007328
66,78.9307,0.44576,0.39353,0.93494,0.99673,1,0.995,0.98963,0.25959,0.25798,0.80258,0.000713,0.000713,0.000713
67,80.085,0.34687,0.36099,0.87398,0.99808,1,0.995,0.995,0.22979,0.25008,0.7936,0.0006932,0.0006932,0.0006932
68,81.2253,0.43723,0.42756,0.89361,0.99823,1,0.995,0.99108,0.21123,0.2212,0.78756,0.0006734,0.0006734,0.0006734
69,82.3219,0.38752,0.34956,0.85196,0.99828,1,0.995,0.995,0.21208,0.21831,0.7873,0.0006536,0.0006536,0.0006536
70,83.4868,0.34654,0.33065,0.8954,0.99813,1,0.995,0.995,0.19925,0.22558,0.78469,0.0006338,0.0006338,0.0006338
71,84.6124,0.4016,0.37321,0.86848,0.99792,1,0.995,0.995,0.18838,0.22326,0.78321,0.000614,0.000614,0.000614
72,85.7427,0.34777,0.3357,0.88215,0.99722,1,0.995,0.99037,0.20068,0.24254,0.78332,0.0005942,0.0005942,0.0005942
73,86.8682,0.31906,0.33689,0.86449,0.99703,1,0.995,0.995,0.19885,0.24238,0.78356,0.0005744,0.0005744,0.0005744
74,88.0222,0.37313,0.34081,0.89184,0.99593,1,0.995,0.99202,0.19487,0.23176,0.78338,0.0005546,0.0005546,0.0005546
75,89.162,0.42863,0.35382,0.967,0.99779,1,0.995,0.995,0.18353,0.20846,0.78317,0.0005348,0.0005348,0.0005348
76,90.3107,0.36805,0.36137,0.84915,0.99823,1,0.995,0.995,0.17489,0.19757,0.7821,0.000515,0.000515,0.000515
77,91.4522,0.48786,0.44603,0.96544,0.99825,1,0.995,0.995,0.1795,0.18576,0.78318,0.0004952,0.0004952,0.0004952
78,92.5923,0.39847,0.42841,0.9698,0.99826,1,0.995,0.995,0.19129,0.19856,0.78397,0.0004754,0.0004754,0.0004754
79,93.7239,0.32278,0.31861,0.84267,0.99826,1,0.995,0.99193,0.19116,0.20666,0.78369,0.0004556,0.0004556,0.0004556
80,94.8704,0.43797,0.36704,0.92899,0.99826,1,0.995,0.99193,0.19723,0.1895,0.78517,0.0004358,0.0004358,0.0004358
81,96.0154,0.41766,0.3638,0.9362,0.9983,1,0.995,0.995,0.18511,0.19613,0.78505,0.000416,0.000416,0.000416
82,97.1624,0.37817,0.33257,0.90005,0.99833,1,0.995,0.995,0.19325,0.18987,0.7855,0.0003962,0.0003962,0.0003962
83,98.3152,0.33938,0.3225,0.87873,0.99834,1,0.995,0.995,0.19507,0.19644,0.7843,0.0003764,0.0003764,0.0003764
84,99.4522,0.34246,0.32762,0.91226,0.9983,1,0.995,0.995,0.17851,0.1871,0.78391,0.0003566,0.0003566,0.0003566
85,100.581,0.38185,0.31696,0.92646,0.99831,1,0.995,0.995,0.17385,0.19023,0.7829,0.0003368,0.0003368,0.0003368
86,101.757,0.29295,0.30281,0.86967,0.99828,1,0.995,0.995,0.17579,0.18368,0.78189,0.000317,0.000317,0.000317
87,102.928,0.35799,0.30978,0.8946,0.99827,1,0.995,0.995,0.17176,0.17991,0.78096,0.0002972,0.0002972,0.0002972
88,104.082,0.40961,0.67471,0.93374,0.99829,1,0.995,0.995,0.15345,0.16988,0.78028,0.0002774,0.0002774,0.0002774
89,105.236,0.35051,0.30427,0.88515,0.99829,1,0.995,0.995,0.14171,0.17157,0.78047,0.0002576,0.0002576,0.0002576
