epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,48.805,0.42427,0.5095,0.85751,1,0.93537,0.95538,0.91564,0.30829,1.10445,0.80887,0.0011486,0.0011486,0.0011486
45,49.8404,0.43088,0.48792,0.89615,0.98248,0.84375,0.92153,0.889,0.30507,1.35124,0.80806,0.0011288,0.0011288,0.0011288
46,50.8904,0.43807,0.50367,0.86866,0.92118,0.84375,0.9318,0.89023,0.30278,1.14371,0.8023,0.001109,0.001109,0.001109
47,51.9513,0.40042,0.45706,0.85963,0.98847,0.96875,0.9681,0.93509,0.31845,0.70109,0.80258,0.0010892,0.0010892,0.0010892
48,53.0034,0.45617,0.49459,0.92527,1,0.99849,0.995,0.96419,0.31422,0.44964,0.80055,0.0010694,0.0010694,0.0010694
49,54.0409,0.45109,0.48122,0.88996,1,0.99971,0.995,0.97921,0.29224,0.39928,0.79269,0.0010496,0.0010496,0.0010496
50,55.0793,0.41501,0.49713,0.88261,0.99799,1,0.995,0.97248,0.25668,0.33028,0.78715,0.0010298,0.0010298,0.0010298
51,56.1096,0.3982,0.46132,0.88488,0.99806,1,0.995,0.97008,0.25927,0.32615,0.78787,0.00101,0.00101,0.00101
52,57.1586,0.42501,0.4622,0.92008,0.99813,1,0.995,0.97493,0.22834,0.32916,0.78041,0.0009902,0.0009902,0.0009902
53,58.2239,0.39729,0.43532,0.88647,0.99815,1,0.995,0.97657,0.23554,0.33734,0.78078,0.0009704,0.0009704,0.0009704
54,59.2877,0.44565,0.43886,0.88114,0.99815,1,0.995,0.97078,0.26926,0.36665,0.78638,0.0009506,0.0009506,0.0009506
55,60.3029,0.44994,0.45497,0.90368,0.99828,1,0.995,0.98495,0.25337,0.35471,0.78339,0.0009308,0.0009308,0.0009308
56,61.3799,0.38793,0.41621,0.88797,0.99831,1,0.995,0.96922,0.24499,0.34862,0.78323,0.000911,0.000911,0.000911
57,62.4084,0.32739,0.40602,0.8442,0.99832,1,0.995,0.97461,0.23695,0.34041,0.78202,0.0008912,0.0008912,0.0008912
58,63.4684,0.41658,0.41863,0.89581,0.9973,1,0.995,0.98772,0.24162,0.33848,0.78414,0.0008714,0.0008714,0.0008714
59,64.5642,0.40322,0.41355,0.87577,0.99712,1,0.995,0.979,0.25879,0.36698,0.78695,0.0008516,0.0008516,0.0008516
